name,mean_test_accuracy_mean,mean_test_accuracy_std,mean_test_recall_mean,mean_test_recall_std,mean_test_specificity_mean,mean_test_specificity_std,mean_test_mcc_mean,mean_test_mcc_std,mean_test_gm_mean,mean_test_gm_std,mean_test_uar_mean,mean_test_uar_std,mean_test_bm_mean,mean_test_bm_std
0,0.666253,0.0,0.586717,0.0,0.805385,0.0,0.381139,0.0,0.685503,0.0,0.696051,0.0,0.392102,0.0
1,0.667702,0.0,0.586768,0.0,0.809385,0.0,0.385165,0.0,0.687256,0.0,0.698076,0.0,0.396152,0.0
10,0.670642,0.0,0.58904,0.0,0.813385,0.0,0.3908,0.0,0.690626,0.0,0.701213,0.0,0.402425,0.0
100,0.674969,0.0,0.607121,0.0,0.793385,0.0,0.38856,0.0,0.691035,0.0,0.700253,0.0,0.400506,0.0
1000,0.672091,0.0,0.625253,0.0,0.754,0.0,0.366872,0.0,0.684171,0.0,0.689626,0.0,0.379253,0.0
1001,0.672091,0.0,0.625253,0.0,0.754,0.0,0.366872,0.0,0.684171,0.0,0.689626,0.0,0.379253,0.0
1002,0.672091,0.0,0.625253,0.0,0.754,0.0,0.366872,0.0,0.684171,0.0,0.689626,0.0,0.379253,0.0
1003,0.672091,0.0,0.625253,0.0,0.754,0.0,0.366872,0.0,0.684171,0.0,0.689626,0.0,0.379253,0.0
1004,0.660497,0.0,0.61404,0.0,0.741846,0.0,0.344613,0.0,0.672179,0.0,0.677943,0.0,0.355887,0.0
1005,0.663395,0.0,0.616313,0.0,0.745846,0.0,0.350735,0.0,0.675166,0.0,0.68108,0.0,0.362159,0.0
1006,0.660497,0.0,0.61404,0.0,0.741846,0.0,0.344613,0.0,0.672179,0.0,0.677943,0.0,0.355887,0.0
1007,0.661946,0.0,0.61404,0.0,0.745846,0.0,0.348595,0.0,0.6739,0.0,0.679943,0.0,0.359887,0.0
1008,0.692277,0.0,0.618485,0.0,0.821231,0.0,0.428172,0.0,0.709478,0.0,0.719858,0.0,0.439716,0.0
1009,0.692277,0.0,0.618535,0.0,0.821231,0.0,0.428207,0.0,0.709533,0.0,0.719883,0.0,0.439766,0.0
101,0.67352,0.0,0.604848,0.0,0.793385,0.0,0.386426,0.0,0.689747,0.0,0.699117,0.0,0.398233,0.0
1010,0.690849,0.0,0.616263,0.0,0.821231,0.0,0.426055,0.0,0.708272,0.0,0.718747,0.0,0.437493,0.0
1011,0.692277,0.0,0.618535,0.0,0.821231,0.0,0.428207,0.0,0.709533,0.0,0.719883,0.0,0.439766,0.0
1012,0.68648,0.0,0.611566,0.0,0.817231,0.0,0.417837,0.0,0.703313,0.0,0.714398,0.0,0.428796,0.0
1013,0.68793,0.0,0.613838,0.0,0.817231,0.0,0.419509,0.0,0.704918,0.0,0.715535,0.0,0.431069,0.0
1014,0.683582,0.0,0.609293,0.0,0.813231,0.0,0.411821,0.0,0.700248,0.0,0.711262,0.0,0.422524,0.0
