name,mean_test_accuracy_mean,mean_test_accuracy_std,mean_test_recall_mean,mean_test_recall_std,mean_test_specificity_mean,mean_test_specificity_std,mean_test_mcc_mean,mean_test_mcc_std,mean_test_gm_mean,mean_test_gm_std,mean_test_uar_mean,mean_test_uar_std,mean_test_bm_mean,mean_test_bm_std
0,0.651954,0.0,0.522305,0.0,0.828354,0.0,0.359425,0.0,0.656968,0.0,0.675329,0.0,0.350659,0.0
1,0.651954,0.0,0.522305,0.0,0.828354,0.0,0.359443,0.0,0.65695,0.0,0.675329,0.0,0.350659,0.0
10,0.641624,0.0,0.511591,0.0,0.818659,0.0,0.338442,0.0,0.646559,0.0,0.665125,0.0,0.330249,0.0
100,0.619856,0.0,0.479156,0.0,0.81122,0.0,0.300736,0.0,0.622715,0.0,0.645188,0.0,0.290375,0.0
1000,0.613628,0.0,0.477305,0.0,0.799024,0.0,0.284616,0.0,0.61688,0.0,0.638165,0.0,0.27633,0.0
1001,0.614669,0.0,0.479123,0.0,0.799024,0.0,0.286386,0.0,0.61807,0.0,0.639074,0.0,0.278148,0.0
1002,0.613628,0.0,0.477305,0.0,0.799024,0.0,0.284616,0.0,0.61688,0.0,0.638165,0.0,0.27633,0.0
1003,0.613628,0.0,0.477305,0.0,0.799024,0.0,0.284705,0.0,0.616916,0.0,0.638165,0.0,0.27633,0.0
1004,0.605316,0.0,0.464675,0.0,0.796524,0.0,0.270225,0.0,0.607763,0.0,0.6306,0.0,0.2612,0.0
1005,0.606357,0.0,0.466461,0.0,0.796524,0.0,0.271871,0.0,0.608864,0.0,0.631493,0.0,0.262985,0.0
1006,0.606357,0.0,0.466461,0.0,0.796524,0.0,0.271871,0.0,0.608864,0.0,0.631493,0.0,0.262985,0.0
1007,0.607399,0.0,0.468279,0.0,0.796524,0.0,0.273657,0.0,0.61008,0.0,0.632402,0.0,0.264804,0.0
1008,0.699817,0.0,0.605357,0.0,0.828354,0.0,0.435299,0.0,0.70714,0.0,0.716855,0.0,0.433711,0.0
1009,0.698787,0.0,0.60539,0.0,0.825915,0.0,0.432952,0.0,0.70601,0.0,0.715652,0.0,0.431304,0.0
