dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
2922,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.624315,0.088441,0.809807,0.045831,0.778487,0.063129,0.864838,0.070611,0.819023,0.045718,0.821663,0.045331,0.643325,0.090662
6952,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.624731,0.088052,0.810024,0.045658,0.778759,0.063148,0.864957,0.070559,0.819214,0.045516,0.821858,0.045126,0.643716,0.090253
7016,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.6248,0.088079,0.810052,0.045669,0.778759,0.063132,0.865037,0.070531,0.819254,0.045529,0.821898,0.045139,0.643796,0.090277
2857,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.624361,0.08842,0.809837,0.045841,0.778556,0.063215,0.864798,0.070591,0.819037,0.045703,0.821677,0.045315,0.643354,0.090629
2923,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.624316,0.088461,0.809807,0.045845,0.778486,0.063148,0.864838,0.070611,0.819023,0.045729,0.821662,0.045341,0.643325,0.090683
2856,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.62436,0.088401,0.809837,0.045827,0.778556,0.063197,0.864798,0.070591,0.819038,0.045692,0.821677,0.045304,0.643355,0.090608
6955,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.624619,0.08806,0.809966,0.045654,0.77869,0.063122,0.864917,0.070607,0.819158,0.045527,0.821803,0.045139,0.643607,0.090278
7018,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.624688,0.088068,0.809995,0.045652,0.77869,0.063087,0.864997,0.070579,0.819199,0.04553,0.821844,0.04514,0.643687,0.090281
6954,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.624619,0.08804,0.809966,0.045641,0.77869,0.063104,0.864917,0.070607,0.819158,0.045517,0.821804,0.045128,0.643607,0.090257
6953,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.624731,0.088071,0.810024,0.045671,0.778759,0.063167,0.864957,0.070559,0.819213,0.045527,0.821858,0.045137,0.643716,0.090274
7019,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.624689,0.088087,0.809995,0.045665,0.77869,0.063106,0.864997,0.070579,0.819198,0.045541,0.821843,0.045151,0.643687,0.090302
2920,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.624427,0.088453,0.809865,0.045849,0.778556,0.063174,0.864878,0.070563,0.819079,0.045717,0.821717,0.045329,0.643434,0.090658
2489,adaboost,"{'classifier__learning_rate': 1, 'classifier__n_estimators': 400}",0.594312,0.09362,0.808669,0.044773,0.835839,0.057808,0.760931,0.083024,0.795624,0.049314,0.798385,0.047705,0.59677,0.095409
7334,adaboost,"{'classifier__learning_rate': 1, 'classifier__n_estimators': 50}",0.59335,0.093595,0.804413,0.045395,0.812537,0.059717,0.790108,0.081801,0.799414,0.048474,0.801323,0.047695,0.602645,0.095389
7398,adaboost,"{'classifier__learning_rate': 1, 'classifier__n_estimators': 50}",0.593301,0.094238,0.804414,0.045672,0.812606,0.059768,0.789985,0.082197,0.799383,0.048852,0.801295,0.048047,0.602591,0.096095
4518,adaboost,"{'classifier__learning_rate': 1, 'classifier__n_estimators': 50}",0.585649,0.09747,0.800242,0.046952,0.806704,0.06027,0.788849,0.085697,0.795789,0.050734,0.797776,0.049873,0.595553,0.099746
6137,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.615673,0.088471,0.809227,0.044588,0.791107,0.060077,0.84108,0.072955,0.814215,0.045293,0.816093,0.04516,0.632187,0.09032
6136,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.615661,0.088435,0.809227,0.044572,0.791152,0.060134,0.841002,0.072973,0.814195,0.045268,0.816077,0.045133,0.632153,0.090267
6075,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.615539,0.088476,0.809156,0.044585,0.791085,0.060223,0.840928,0.073129,0.814116,0.045285,0.816007,0.045153,0.632013,0.090307
6139,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.615877,0.088534,0.809329,0.044614,0.791243,0.060175,0.841125,0.073064,0.8143,0.045313,0.816184,0.045185,0.632368,0.09037
6073,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.615348,0.088501,0.809055,0.044618,0.790927,0.060192,0.840922,0.073031,0.814038,0.045317,0.815924,0.045175,0.631848,0.090351
6138,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.615891,0.0883,0.809357,0.044489,0.791333,0.060053,0.841042,0.072963,0.814308,0.045201,0.816187,0.045064,0.632375,0.090129
6074,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.615553,0.088242,0.809185,0.044461,0.791176,0.060102,0.840845,0.073027,0.814124,0.045172,0.81601,0.045033,0.63202,0.090065
6072,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.6153,0.08848,0.80904,0.044607,0.790972,0.060249,0.840803,0.07306,0.813999,0.045298,0.815887,0.045156,0.631775,0.090312
1130,adaboost,"{'classifier__learning_rate': 1, 'classifier__n_estimators': 100}",0.595306,0.093418,0.805385,0.045003,0.813493,0.058575,0.791125,0.083456,0.800367,0.04864,0.802309,0.047839,0.604618,0.095678
7805,adaboost,"{'classifier__learning_rate': 1, 'classifier__n_estimators': 50}",0.580591,0.09217,0.795266,0.045358,0.791799,0.061707,0.801295,0.082803,0.794558,0.047927,0.796547,0.047361,0.593095,0.094722
2490,adaboost,"{'classifier__learning_rate': 1, 'classifier__n_estimators': 350}",0.594125,0.089793,0.808147,0.042884,0.833329,0.05744,0.76388,0.083377,0.795863,0.047564,0.798604,0.045947,0.597209,0.091894
1276,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.612509,0.089857,0.808429,0.045419,0.793577,0.061658,0.834557,0.072878,0.812278,0.045813,0.814067,0.045641,0.628134,0.091282
5374,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.61261,0.090015,0.808473,0.045446,0.793644,0.061755,0.834554,0.073277,0.812295,0.045871,0.814099,0.045715,0.628198,0.091429
5310,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.612401,0.09023,0.808372,0.045486,0.793554,0.061652,0.834435,0.07364,0.812187,0.045979,0.813994,0.045846,0.627989,0.091693
1212,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.612405,0.089988,0.808386,0.045448,0.793554,0.06157,0.83448,0.072929,0.812234,0.045856,0.814017,0.045703,0.628034,0.091405
1278,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.612697,0.089831,0.808486,0.045402,0.793577,0.061855,0.834712,0.07319,0.812332,0.045791,0.814145,0.045625,0.628289,0.09125
5372,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.612513,0.089887,0.808459,0.045387,0.793713,0.061591,0.834395,0.073025,0.812267,0.045809,0.814054,0.045651,0.628109,0.091301
5309,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.612497,0.090013,0.808459,0.045373,0.793757,0.061475,0.83432,0.07354,0.81224,0.045892,0.814039,0.045753,0.628077,0.091506
5375,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.612337,0.089941,0.808373,0.045443,0.79369,0.061821,0.834195,0.073064,0.812147,0.045819,0.813943,0.045658,0.627885,0.091316
1213,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.612305,0.089856,0.808357,0.045365,0.793597,0.061488,0.83432,0.073004,0.812175,0.045803,0.813959,0.045649,0.627917,0.091298
5308,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.61233,0.090122,0.808372,0.04544,0.793645,0.06151,0.834277,0.07339,0.812169,0.045926,0.813961,0.045791,0.627922,0.091581
1277,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.612444,0.089703,0.808415,0.045335,0.793621,0.061576,0.834437,0.07288,0.812241,0.04575,0.814029,0.045573,0.628058,0.091147
5311,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.612128,0.090155,0.808272,0.045483,0.793599,0.061718,0.834077,0.073428,0.812039,0.045927,0.813838,0.04579,0.627676,0.09158
1214,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.612604,0.089973,0.808443,0.045426,0.793531,0.061745,0.834675,0.073298,0.812295,0.045842,0.814103,0.045698,0.628207,0.091396
5373,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.612716,0.089796,0.80856,0.045327,0.793825,0.061556,0.834478,0.07319,0.812357,0.045785,0.814152,0.045624,0.628304,0.091247
1279,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.612607,0.089754,0.808472,0.045365,0.793666,0.06181,0.834512,0.073099,0.812284,0.045747,0.814089,0.045582,0.628178,0.091165
