dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
5790,adaboost,"{'classifier__learning_rate': 10, 'classifier__n_estimators': 350}",0.707461,0.069226,0.857012,0.033592,0.901371,0.038196,0.796681,0.061674,0.846546,0.037147,0.849026,0.035676,0.698052,0.071351
5790,adaboost,"{'classifier__learning_rate': 10, 'classifier__n_estimators': 400}",0.707461,0.069226,0.857012,0.033592,0.901371,0.038196,0.796681,0.061674,0.846546,0.037147,0.849026,0.035676,0.698052,0.071351
594,adaboost,"{'classifier__learning_rate': 10, 'classifier__n_estimators': 50}",0.706885,0.069238,0.856731,0.033592,0.900543,0.038544,0.797143,0.061052,0.846416,0.036961,0.848843,0.035581,0.697685,0.071161
594,adaboost,"{'classifier__learning_rate': 10, 'classifier__n_estimators': 100}",0.706885,0.069238,0.856731,0.033592,0.900543,0.038544,0.797143,0.061052,0.846416,0.036961,0.848843,0.035581,0.697685,0.071161
594,adaboost,"{'classifier__learning_rate': 10, 'classifier__n_estimators': 150}",0.706885,0.069238,0.856731,0.033592,0.900543,0.038544,0.797143,0.061052,0.846416,0.036961,0.848843,0.035581,0.697685,0.071161
594,adaboost,"{'classifier__learning_rate': 10, 'classifier__n_estimators': 200}",0.706885,0.069238,0.856731,0.033592,0.900543,0.038544,0.797143,0.061052,0.846416,0.036961,0.848843,0.035581,0.697685,0.071161
594,adaboost,"{'classifier__learning_rate': 10, 'classifier__n_estimators': 250}",0.706885,0.069238,0.856731,0.033592,0.900543,0.038544,0.797143,0.061052,0.846416,0.036961,0.848843,0.035581,0.697685,0.071161
594,adaboost,"{'classifier__learning_rate': 10, 'classifier__n_estimators': 300}",0.706885,0.069238,0.856731,0.033592,0.900543,0.038544,0.797143,0.061052,0.846416,0.036961,0.848843,0.035581,0.697685,0.071161
594,adaboost,"{'classifier__learning_rate': 10, 'classifier__n_estimators': 350}",0.706885,0.069238,0.856731,0.033592,0.900543,0.038544,0.797143,0.061052,0.846416,0.036961,0.848843,0.035581,0.697685,0.071161
594,adaboost,"{'classifier__learning_rate': 10, 'classifier__n_estimators': 400}",0.706885,0.069238,0.856731,0.033592,0.900543,0.038544,0.797143,0.061052,0.846416,0.036961,0.848843,0.035581,0.697685,0.071161
6658,adaboost,"{'classifier__learning_rate': 10, 'classifier__n_estimators': 50}",0.706915,0.068626,0.856742,0.033286,0.900655,0.03802,0.797021,0.061613,0.846385,0.036861,0.848838,0.035397,0.697676,0.070793
6658,adaboost,"{'classifier__learning_rate': 10, 'classifier__n_estimators': 100}",0.706915,0.068626,0.856742,0.033286,0.900655,0.03802,0.797021,0.061613,0.846385,0.036861,0.848838,0.035397,0.697676,0.070793
6658,adaboost,"{'classifier__learning_rate': 10, 'classifier__n_estimators': 150}",0.706915,0.068626,0.856742,0.033286,0.900655,0.03802,0.797021,0.061613,0.846385,0.036861,0.848838,0.035397,0.697676,0.070793
6658,adaboost,"{'classifier__learning_rate': 10, 'classifier__n_estimators': 200}",0.706915,0.068626,0.856742,0.033286,0.900655,0.03802,0.797021,0.061613,0.846385,0.036861,0.848838,0.035397,0.697676,0.070793
6658,adaboost,"{'classifier__learning_rate': 10, 'classifier__n_estimators': 250}",0.706915,0.068626,0.856742,0.033286,0.900655,0.03802,0.797021,0.061613,0.846385,0.036861,0.848838,0.035397,0.697676,0.070793
6658,adaboost,"{'classifier__learning_rate': 10, 'classifier__n_estimators': 300}",0.706915,0.068626,0.856742,0.033286,0.900655,0.03802,0.797021,0.061613,0.846385,0.036861,0.848838,0.035397,0.697676,0.070793
