dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
375,decisiontree,"{'classifier__criterion': 'gini', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 5, 'classifier__splitter': 'best'}",0.410934,0.112332,0.722231,0.052711,0.763143,0.064669,0.650454,0.099579,0.701596,0.060487,0.706799,0.057249,0.413597,0.114497
599,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__splitter': 'best'}",0.403903,0.114,0.718095,0.054216,0.756119,0.066122,0.651309,0.096413,0.699048,0.060579,0.703714,0.057898,0.407428,0.115797
599,decisiontree,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__splitter': 'best'}",0.403903,0.114,0.718095,0.054216,0.756119,0.066122,0.651309,0.096413,0.699048,0.060579,0.703714,0.057898,0.407428,0.115797
6329,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 2, 'classifier__splitter': 'random'}",0.331875,0.114393,0.683997,0.05456,0.727268,0.067256,0.607888,0.09695,0.661912,0.061348,0.667578,0.05812,0.335155,0.11624
6329,decisiontree,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 2, 'classifier__splitter': 'random'}",0.331875,0.114393,0.683997,0.05456,0.727268,0.067256,0.607888,0.09695,0.661912,0.061348,0.667578,0.05812,0.335155,0.11624
7772,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 7, 'classifier__splitter': 'best'}",0.423029,0.113028,0.725817,0.053608,0.757194,0.06591,0.670663,0.097013,0.709905,0.059865,0.713929,0.057467,0.427857,0.114933
7772,decisiontree,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 7, 'classifier__splitter': 'best'}",0.423029,0.113028,0.725817,0.053608,0.757194,0.06591,0.670663,0.097013,0.709905,0.059865,0.713929,0.057467,0.427857,0.114933
2408,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__splitter': 'best'}",0.391322,0.114128,0.713044,0.053835,0.755938,0.067463,0.637608,0.1,0.691156,0.060962,0.696773,0.057866,0.393546,0.115732
2408,decisiontree,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__splitter': 'best'}",0.391322,0.114128,0.713044,0.053835,0.755938,0.067463,0.637608,0.1,0.691156,0.060962,0.696773,0.057866,0.393546,0.115732
816,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 5, 'classifier__splitter': 'best'}",0.417695,0.109513,0.723684,0.052303,0.757112,0.066387,0.66486,0.096232,0.706672,0.058231,0.710986,0.055841,0.421972,0.111683
