dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
6135,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 4, 'classifier__splitter': 'best'}",0.520085,0.082044,0.763348,0.040264,0.781982,0.054855,0.738037,0.069449,0.7582,0.04198,0.76001,0.041311,0.52002,0.082622
6135,decisiontree,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 4, 'classifier__splitter': 'best'}",0.520085,0.082044,0.763348,0.040264,0.781982,0.054855,0.738037,0.069449,0.7582,0.04198,0.76001,0.041311,0.52002,0.082622
3775,decisiontree,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 10, 'classifier__splitter': 'random'}",0.532664,0.086796,0.768425,0.043026,0.776733,0.058793,0.757111,0.069699,0.765357,0.044241,0.766922,0.043659,0.533844,0.087318
3257,decisiontree,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 10, 'classifier__splitter': 'random'}",0.529118,0.08611,0.766343,0.042895,0.772353,0.060269,0.758124,0.067717,0.763716,0.04345,0.765239,0.043121,0.530478,0.086243
460,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 2, 'classifier__splitter': 'best'}",0.53147,0.084404,0.76899,0.041642,0.78819,0.057419,0.74286,0.069392,0.763675,0.043051,0.765525,0.042393,0.53105,0.084785
460,decisiontree,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 2, 'classifier__splitter': 'best'}",0.53147,0.084404,0.76899,0.041642,0.78819,0.057419,0.74286,0.069392,0.763675,0.043051,0.765525,0.042393,0.53105,0.084785
2879,decisiontree,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 9, 'classifier__splitter': 'random'}",0.540812,0.084766,0.771723,0.041965,0.774285,0.058898,0.768245,0.069177,0.769737,0.042795,0.771265,0.042504,0.54253,0.085008
2924,decisiontree,"{'classifier__criterion': 'gini', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 10, 'classifier__splitter': 'best'}",0.508068,0.09095,0.756531,0.045257,0.768181,0.06176,0.740668,0.071132,0.7527,0.046401,0.754425,0.045717,0.508849,0.091434
251,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 9, 'classifier__splitter': 'random'}",0.539401,0.084931,0.770999,0.042208,0.772322,0.057439,0.769216,0.067758,0.769371,0.043199,0.770769,0.042783,0.541539,0.085567
251,decisiontree,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 9, 'classifier__splitter': 'random'}",0.539401,0.084931,0.770999,0.042208,0.772322,0.057439,0.769216,0.067758,0.769371,0.043199,0.770769,0.042783,0.541539,0.085567
7495,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 9, 'classifier__splitter': 'random'}",0.567023,0.081955,0.784618,0.041037,0.785086,0.058261,0.78398,0.065722,0.783136,0.041735,0.784533,0.041287,0.569066,0.082573
7495,decisiontree,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 9, 'classifier__splitter': 'random'}",0.567023,0.081955,0.784618,0.041037,0.785086,0.058261,0.78398,0.065722,0.783136,0.041735,0.784533,0.041287,0.569066,0.082573
399,decisiontree,"{'classifier__criterion': 'gini', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 10, 'classifier__splitter': 'random'}",0.552205,0.083365,0.776854,0.041702,0.774776,0.059431,0.779697,0.066821,0.775771,0.04231,0.777237,0.041948,0.554473,0.083897
670,decisiontree,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 8, 'classifier__splitter': 'random'}",0.540288,0.087135,0.771376,0.043481,0.772472,0.059546,0.76988,0.067892,0.769756,0.044188,0.771176,0.043838,0.542352,0.087676
1275,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__splitter': 'best'}",0.523429,0.084397,0.76515,0.041397,0.785083,0.055434,0.738018,0.071584,0.759637,0.043509,0.761551,0.042627,0.523101,0.085254
1275,decisiontree,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__splitter': 'best'}",0.523429,0.084397,0.76515,0.041397,0.785083,0.055434,0.738018,0.071584,0.759637,0.043509,0.761551,0.042627,0.523101,0.085254
2651,decisiontree,"{'classifier__criterion': 'gini', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 10, 'classifier__splitter': 'random'}",0.544074,0.083554,0.773365,0.041376,0.7758,0.057671,0.770045,0.07062,0.771356,0.042701,0.772922,0.042248,0.545845,0.084496
1750,decisiontree,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 10, 'classifier__splitter': 'random'}",0.539389,0.083467,0.771133,0.041541,0.774689,0.059168,0.766303,0.06826,0.768956,0.042315,0.770496,0.04194,0.540992,0.083879
4430,decisiontree,"{'classifier__criterion': 'gini', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 10, 'classifier__splitter': 'random'}",0.570937,0.08357,0.786116,0.041752,0.782833,0.058461,0.790577,0.066278,0.785318,0.04239,0.786705,0.042055,0.57341,0.084111
7184,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 6, 'classifier__splitter': 'best'}",0.52809,0.087252,0.767052,0.042869,0.783264,0.05675,0.745014,0.071502,0.762401,0.044565,0.764139,0.04396,0.528278,0.087921
7184,decisiontree,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 6, 'classifier__splitter': 'best'}",0.52809,0.087252,0.767052,0.042869,0.783264,0.05675,0.745014,0.071502,0.762401,0.044565,0.764139,0.04396,0.528278,0.087921
1758,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 4, 'classifier__splitter': 'best'}",0.522291,0.081125,0.764705,0.039878,0.786115,0.055285,0.735599,0.06777,0.758979,0.041285,0.760857,0.040691,0.521715,0.081382
1758,decisiontree,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 4, 'classifier__splitter': 'best'}",0.522291,0.081125,0.764705,0.039878,0.786115,0.055285,0.735599,0.06777,0.758979,0.041285,0.760857,0.040691,0.521715,0.081382
2711,decisiontree,"{'classifier__criterion': 'gini', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 10, 'classifier__splitter': 'random'}",0.54338,0.083786,0.772921,0.041711,0.774098,0.058415,0.771255,0.068254,0.771186,0.042745,0.772676,0.042215,0.545353,0.08443
5677,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 2, 'classifier__splitter': 'best'}",0.517059,0.085069,0.762192,0.042094,0.784366,0.057976,0.732045,0.066858,0.756322,0.043177,0.758206,0.042494,0.516411,0.084989
5677,decisiontree,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 2, 'classifier__splitter': 'best'}",0.517059,0.085069,0.762192,0.042094,0.784366,0.057976,0.732045,0.066858,0.756322,0.043177,0.758206,0.042494,0.516411,0.084989
7249,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 10, 'classifier__splitter': 'best'}",0.541912,0.082812,0.773634,0.041317,0.787805,0.059121,0.754355,0.065282,0.769467,0.04187,0.77108,0.041394,0.54216,0.082787
7249,decisiontree,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 10, 'classifier__splitter': 'best'}",0.541912,0.082812,0.773634,0.041317,0.787805,0.059121,0.754355,0.065282,0.769467,0.04187,0.77108,0.041394,0.54216,0.082787
1840,decisiontree,"{'classifier__criterion': 'gini', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 9, 'classifier__splitter': 'random'}",0.559855,0.084332,0.780775,0.042062,0.778933,0.058438,0.783276,0.066229,0.779741,0.042595,0.781104,0.042374,0.562209,0.084749
3774,decisiontree,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 10, 'classifier__splitter': 'random'}",0.552436,0.081507,0.778273,0.040308,0.786807,0.05657,0.766661,0.068322,0.775193,0.041564,0.776734,0.041061,0.553468,0.082122
