dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
4405,gauss_nb,{'classifier__var_smoothing': 1e-09},0.413233,0.093293,0.679565,0.049455,0.593713,0.069871,0.830434,0.075911,0.699947,0.049711,0.712073,0.048377,0.424146,0.096755
4405,gauss_nb,{'classifier__var_smoothing': 1e-08},0.413233,0.093293,0.679565,0.049455,0.593713,0.069871,0.830434,0.075911,0.699947,0.049711,0.712073,0.048377,0.424146,0.096755
3326,gauss_nb,{'classifier__var_smoothing': 1e-09},0.421405,0.09582,0.688054,0.051521,0.611769,0.072435,0.822106,0.075081,0.706992,0.0512,0.716938,0.049807,0.433875,0.099615
3326,gauss_nb,{'classifier__var_smoothing': 1e-08},0.421405,0.09582,0.688054,0.051521,0.611769,0.072435,0.822106,0.075081,0.706992,0.0512,0.716938,0.049807,0.433875,0.099615
1744,gauss_nb,{'classifier__var_smoothing': 1e-09},0.420079,0.092568,0.686502,0.049167,0.608363,0.070466,0.823805,0.077078,0.705635,0.049224,0.716084,0.048084,0.432168,0.096169
1744,gauss_nb,{'classifier__var_smoothing': 1e-08},0.420079,0.092568,0.686502,0.049167,0.608363,0.070466,0.823805,0.077078,0.705635,0.049224,0.716084,0.048084,0.432168,0.096169
3249,gauss_nb,{'classifier__var_smoothing': 1e-09},0.429304,0.091061,0.693673,0.048709,0.620976,0.07039,0.821392,0.075296,0.711959,0.048379,0.721184,0.047289,0.442369,0.094577
3249,gauss_nb,{'classifier__var_smoothing': 1e-08},0.429304,0.091061,0.693673,0.048709,0.620976,0.07039,0.821392,0.075296,0.711959,0.048379,0.721184,0.047289,0.442369,0.094577
3251,gauss_nb,{'classifier__var_smoothing': 1e-09},0.428204,0.091263,0.693025,0.04889,0.620162,0.070732,0.821029,0.075336,0.711315,0.048546,0.720596,0.047401,0.441191,0.094801
3251,gauss_nb,{'classifier__var_smoothing': 1e-08},0.428204,0.091263,0.693025,0.04889,0.620162,0.070732,0.821029,0.075336,0.711315,0.048546,0.720596,0.047401,0.441191,0.094801
3344,gauss_nb,{'classifier__var_smoothing': 1e-09},0.420632,0.090064,0.684754,0.048358,0.602053,0.070764,0.830078,0.075302,0.7046,0.048216,0.716065,0.046767,0.432131,0.093533
3344,gauss_nb,{'classifier__var_smoothing': 1e-08},0.420632,0.090064,0.684754,0.048358,0.602053,0.070764,0.830078,0.075302,0.7046,0.048216,0.716065,0.046767,0.432131,0.093533
1712,gauss_nb,{'classifier__var_smoothing': 1e-09},0.421768,0.091721,0.688973,0.048888,0.614301,0.069668,0.820148,0.074917,0.707637,0.048728,0.717224,0.047645,0.434448,0.09529
1712,gauss_nb,{'classifier__var_smoothing': 1e-08},0.421768,0.091721,0.688973,0.048888,0.614301,0.069668,0.820148,0.074917,0.707637,0.048728,0.717224,0.047645,0.434448,0.09529
2521,gauss_nb,{'classifier__var_smoothing': 1e-09},0.412368,0.095116,0.686609,0.049788,0.618133,0.070243,0.806945,0.080224,0.703907,0.050006,0.712539,0.049354,0.425078,0.098708
2521,gauss_nb,{'classifier__var_smoothing': 1e-08},0.412368,0.095116,0.686609,0.049788,0.618133,0.070243,0.806945,0.080224,0.703907,0.050006,0.712539,0.049354,0.425078,0.098708
3543,gauss_nb,{'classifier__var_smoothing': 1e-09},0.420323,0.094984,0.692265,0.049923,0.627765,0.072282,0.805572,0.081578,0.708618,0.049669,0.716669,0.049176,0.433337,0.098352
3543,gauss_nb,{'classifier__var_smoothing': 1e-08},0.420323,0.094984,0.692265,0.049923,0.627765,0.072282,0.805572,0.081578,0.708618,0.049669,0.716669,0.049176,0.433337,0.098352
1215,gauss_nb,{'classifier__var_smoothing': 1e-09},0.41746,0.094321,0.683609,0.05056,0.601897,0.071804,0.82718,0.075655,0.703339,0.050528,0.714539,0.048995,0.429077,0.097991
1215,gauss_nb,{'classifier__var_smoothing': 1e-08},0.41746,0.094321,0.683609,0.05056,0.601897,0.071804,0.82718,0.075655,0.703339,0.050528,0.714539,0.048995,0.429077,0.097991
4089,gauss_nb,{'classifier__var_smoothing': 1e-09},0.421756,0.100503,0.702439,0.051681,0.661524,0.070443,0.774306,0.084272,0.713359,0.052282,0.717915,0.052077,0.43583,0.104154
4089,gauss_nb,{'classifier__var_smoothing': 1e-08},0.421756,0.100503,0.702439,0.051681,0.661524,0.070443,0.774306,0.084272,0.713359,0.052282,0.717915,0.052077,0.43583,0.104154
1429,gauss_nb,{'classifier__var_smoothing': 1e-09},0.417588,0.093785,0.684783,0.049369,0.605762,0.07067,0.823608,0.079414,0.703941,0.049599,0.714685,0.048647,0.429369,0.097294
1429,gauss_nb,{'classifier__var_smoothing': 1e-08},0.417588,0.093785,0.684783,0.049369,0.605762,0.07067,0.823608,0.079414,0.703941,0.049599,0.714685,0.048647,0.429369,0.097294
2386,gauss_nb,{'classifier__var_smoothing': 1e-09},0.404837,0.093055,0.673969,0.048688,0.585504,0.068882,0.829429,0.077687,0.694589,0.04924,0.707467,0.048137,0.414933,0.096274
2386,gauss_nb,{'classifier__var_smoothing': 1e-08},0.404837,0.093055,0.673969,0.048688,0.585504,0.068882,0.829429,0.077687,0.694589,0.04924,0.707467,0.048137,0.414933,0.096274
5911,gauss_nb,{'classifier__var_smoothing': 1e-09},0.416014,0.090156,0.677682,0.048601,0.584469,0.070044,0.841451,0.072456,0.699098,0.048652,0.71296,0.046806,0.425919,0.093612
5911,gauss_nb,{'classifier__var_smoothing': 1e-08},0.416014,0.090156,0.677682,0.048601,0.584469,0.070044,0.841451,0.072456,0.699098,0.048652,0.71296,0.046806,0.425919,0.093612
2076,gauss_nb,{'classifier__var_smoothing': 1e-09},0.414748,0.088997,0.667845,0.047635,0.555741,0.069368,0.864842,0.072697,0.690976,0.048545,0.710291,0.045963,0.420583,0.091926
2076,gauss_nb,{'classifier__var_smoothing': 1e-08},0.414729,0.088996,0.667831,0.047636,0.555719,0.069371,0.864842,0.072697,0.690962,0.048545,0.71028,0.045963,0.420561,0.091925
7411,gauss_nb,{'classifier__var_smoothing': 1e-09},0.434443,0.091594,0.698074,0.049079,0.629425,0.070528,0.818694,0.074641,0.715677,0.048607,0.724059,0.047551,0.448119,0.095101
7411,gauss_nb,{'classifier__var_smoothing': 1e-08},0.434443,0.091594,0.698074,0.049079,0.629425,0.070528,0.818694,0.074641,0.715677,0.048607,0.724059,0.047551,0.448119,0.095101
1213,gauss_nb,{'classifier__var_smoothing': 1e-09},0.41869,0.094677,0.68469,0.050655,0.604021,0.072,0.826428,0.076306,0.704235,0.050624,0.715224,0.04916,0.430448,0.098319
1213,gauss_nb,{'classifier__var_smoothing': 1e-08},0.41869,0.094677,0.68469,0.050655,0.604021,0.072,0.826428,0.076306,0.704235,0.050624,0.715224,0.04916,0.430448,0.098319
5786,gauss_nb,{'classifier__var_smoothing': 1e-09},0.427944,0.094407,0.693841,0.050689,0.623273,0.072501,0.817854,0.076611,0.711668,0.050359,0.720563,0.049112,0.441127,0.098224
5786,gauss_nb,{'classifier__var_smoothing': 1e-08},0.427944,0.094407,0.693841,0.050689,0.623273,0.072501,0.817854,0.076611,0.711668,0.050359,0.720563,0.049112,0.441127,0.098224
7409,gauss_nb,{'classifier__var_smoothing': 1e-09},0.43523,0.09114,0.698622,0.048909,0.630327,0.070612,0.818622,0.074596,0.716143,0.048412,0.724474,0.047334,0.448949,0.094667
