dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
4432,gauss_nb,{'classifier__var_smoothing': 1e-09},0.463563,0.078876,0.718355,0.04088,0.641759,0.062095,0.822532,0.059059,0.72504,0.041232,0.732145,0.039927,0.46429,0.079855
4432,gauss_nb,{'classifier__var_smoothing': 1e-08},0.463563,0.078876,0.718355,0.04088,0.641759,0.062095,0.822532,0.059059,0.72504,0.041232,0.732145,0.039927,0.46429,0.079855
5012,gauss_nb,{'classifier__var_smoothing': 1e-09},0.459882,0.080865,0.716728,0.042286,0.641225,0.064822,0.81943,0.059274,0.723281,0.042687,0.730328,0.041086,0.460655,0.082172
5012,gauss_nb,{'classifier__var_smoothing': 1e-08},0.459882,0.080865,0.716728,0.042286,0.641225,0.064822,0.81943,0.059274,0.723281,0.042687,0.730328,0.041086,0.460655,0.082172
2771,gauss_nb,{'classifier__var_smoothing': 1e-09},0.46097,0.08027,0.711931,0.041652,0.615259,0.062981,0.843423,0.05872,0.718821,0.042576,0.729341,0.04062,0.458681,0.081239
2771,gauss_nb,{'classifier__var_smoothing': 1e-08},0.46097,0.08027,0.711931,0.041652,0.615259,0.062981,0.843423,0.05872,0.718821,0.042576,0.729341,0.04062,0.458681,0.081239
6227,gauss_nb,{'classifier__var_smoothing': 1e-09},0.454471,0.080976,0.709029,0.042525,0.613682,0.065058,0.8387,0.057634,0.715823,0.043516,0.726191,0.041097,0.452382,0.082194
6227,gauss_nb,{'classifier__var_smoothing': 1e-08},0.454471,0.080976,0.709029,0.042525,0.613682,0.065058,0.8387,0.057634,0.715823,0.043516,0.726191,0.041097,0.452382,0.082194
3994,gauss_nb,{'classifier__var_smoothing': 1e-09},0.474922,0.078978,0.72538,0.040892,0.654514,0.062838,0.821785,0.06109,0.731804,0.041277,0.73815,0.04007,0.476299,0.08014
3994,gauss_nb,{'classifier__var_smoothing': 1e-08},0.474922,0.078978,0.72538,0.040892,0.654514,0.062838,0.821785,0.06109,0.731804,0.041277,0.73815,0.04007,0.476299,0.08014
6046,gauss_nb,{'classifier__var_smoothing': 1e-09},0.459945,0.08088,0.716945,0.042293,0.642176,0.064642,0.818659,0.059292,0.723486,0.042717,0.730417,0.041115,0.460835,0.08223
6046,gauss_nb,{'classifier__var_smoothing': 1e-08},0.459945,0.08088,0.716945,0.042293,0.642176,0.064642,0.818659,0.059292,0.723486,0.042717,0.730417,0.041115,0.460835,0.08223
8020,gauss_nb,{'classifier__var_smoothing': 1e-09},0.454617,0.082946,0.711843,0.043356,0.627325,0.065919,0.826805,0.060065,0.718548,0.043952,0.727065,0.042096,0.45413,0.084192
8020,gauss_nb,{'classifier__var_smoothing': 1e-08},0.454617,0.082946,0.711843,0.043356,0.627325,0.065919,0.826805,0.060065,0.718548,0.043952,0.727065,0.042096,0.45413,0.084192
5535,gauss_nb,{'classifier__var_smoothing': 1e-09},0.448196,0.078695,0.712116,0.040716,0.642077,0.062542,0.807352,0.060468,0.718393,0.041045,0.724715,0.039843,0.449429,0.079685
5535,gauss_nb,{'classifier__var_smoothing': 1e-08},0.448196,0.078695,0.712116,0.040716,0.642077,0.062542,0.807352,0.060468,0.718393,0.041045,0.724715,0.039843,0.449429,0.079685
5532,gauss_nb,{'classifier__var_smoothing': 1e-09},0.448972,0.078745,0.712543,0.040582,0.642655,0.06196,0.807575,0.061006,0.718826,0.040944,0.725115,0.039845,0.45023,0.07969
5532,gauss_nb,{'classifier__var_smoothing': 1e-08},0.448972,0.078745,0.712543,0.040582,0.642655,0.06196,0.807575,0.061006,0.718826,0.040944,0.725115,0.039845,0.45023,0.07969
3482,gauss_nb,{'classifier__var_smoothing': 1e-09},0.459634,0.079472,0.71847,0.040963,0.651021,0.062413,0.810181,0.061221,0.724677,0.041166,0.730601,0.040179,0.461202,0.080359
3482,gauss_nb,{'classifier__var_smoothing': 1e-08},0.459634,0.079472,0.71847,0.040963,0.651021,0.062413,0.810181,0.061221,0.724677,0.041166,0.730601,0.040179,0.461202,0.080359
6546,gauss_nb,{'classifier__var_smoothing': 1e-09},0.469496,0.082501,0.724014,0.042594,0.658968,0.063611,0.812473,0.061665,0.730157,0.042793,0.73572,0.041782,0.471441,0.083563
6546,gauss_nb,{'classifier__var_smoothing': 1e-08},0.469496,0.082501,0.724014,0.042594,0.658968,0.063611,0.812473,0.061665,0.730157,0.042793,0.73572,0.041782,0.471441,0.083563
7583,gauss_nb,{'classifier__var_smoothing': 1e-09},0.455682,0.079914,0.716037,0.041241,0.646976,0.063762,0.809948,0.062553,0.722201,0.041499,0.728462,0.040431,0.456924,0.080862
7583,gauss_nb,{'classifier__var_smoothing': 1e-08},0.455682,0.079914,0.716037,0.041241,0.646976,0.063762,0.809948,0.062553,0.722201,0.041499,0.728462,0.040431,0.456924,0.080862
6352,gauss_nb,{'classifier__var_smoothing': 1e-09},0.4548,0.083757,0.711741,0.043379,0.626314,0.064523,0.827923,0.060851,0.718512,0.044065,0.727118,0.042396,0.454237,0.084792
6352,gauss_nb,{'classifier__var_smoothing': 1e-08},0.4548,0.083757,0.711741,0.043379,0.626314,0.064523,0.827923,0.060851,0.718512,0.044065,0.727118,0.042396,0.454237,0.084792
7770,gauss_nb,{'classifier__var_smoothing': 1e-09},0.457229,0.083504,0.708104,0.043813,0.604361,0.06638,0.849218,0.058772,0.714747,0.04512,0.72679,0.042397,0.453579,0.084794
