dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
1501,knn,"{'classifier__n_neighbors': 19, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.515897,0.085825,0.731101,0.050713,0.640977,0.077287,0.889532,0.062693,0.752944,0.049313,0.765255,0.045486,0.53051,0.090971
1501,knn,"{'classifier__n_neighbors': 19, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.516203,0.085763,0.731244,0.050647,0.641091,0.077196,0.889731,0.062779,0.753097,0.049241,0.765411,0.045447,0.530822,0.090895
8188,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.512638,0.081095,0.717069,0.050285,0.60098,0.076826,0.921142,0.0548,0.741944,0.050309,0.761061,0.04403,0.522122,0.08806
7932,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.512632,0.080986,0.717054,0.050188,0.600936,0.076639,0.921182,0.054755,0.741943,0.05021,0.761059,0.043961,0.522117,0.087922
3807,knn,"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.523413,0.086905,0.748763,0.046846,0.691142,0.068626,0.849977,0.072099,0.764498,0.046059,0.77056,0.045148,0.541119,0.090296
3807,knn,"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.523413,0.086905,0.748763,0.046846,0.691142,0.068626,0.849977,0.072099,0.764498,0.046059,0.77056,0.045148,0.541119,0.090296
4063,knn,"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.523315,0.086787,0.748719,0.046813,0.691119,0.06865,0.849897,0.071999,0.764448,0.046007,0.770508,0.045086,0.541016,0.090172
4063,knn,"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.523315,0.086787,0.748719,0.046813,0.691119,0.06865,0.849897,0.071999,0.764448,0.046007,0.770508,0.045086,0.541016,0.090172
3294,knn,"{'classifier__n_neighbors': 21, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.522241,0.085797,0.733064,0.050026,0.639722,0.074772,0.897151,0.062292,0.755599,0.048862,0.768436,0.045415,0.536873,0.090829
3294,knn,"{'classifier__n_neighbors': 21, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.522345,0.085917,0.73312,0.050052,0.63979,0.074769,0.897188,0.062449,0.755652,0.048898,0.768489,0.045468,0.536978,0.090937
3550,knn,"{'classifier__n_neighbors': 21, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.522124,0.085771,0.733035,0.05003,0.639768,0.074809,0.896992,0.062257,0.755557,0.048855,0.76838,0.045401,0.53676,0.090802
3550,knn,"{'classifier__n_neighbors': 21, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.522229,0.085891,0.733092,0.050056,0.639836,0.074806,0.897029,0.062413,0.755611,0.048891,0.768433,0.045455,0.536865,0.090909
3860,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.492363,0.078713,0.698261,0.049352,0.566583,0.076552,0.929665,0.053963,0.723524,0.050453,0.748124,0.042932,0.496248,0.085864
3860,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.491844,0.079051,0.698075,0.049499,0.566561,0.076719,0.929186,0.054193,0.723314,0.050595,0.747874,0.043091,0.495747,0.086181
5276,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.518669,0.085886,0.733001,0.050327,0.643774,0.076062,0.889877,0.062635,0.754826,0.048903,0.766826,0.045435,0.533651,0.09087
5276,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.518752,0.085904,0.733059,0.050325,0.643865,0.076048,0.889877,0.062686,0.754879,0.048909,0.766871,0.045444,0.533742,0.090888
5532,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.518787,0.085955,0.733073,0.050365,0.643865,0.076083,0.889915,0.062619,0.754898,0.04894,0.76689,0.045471,0.53378,0.090942
5532,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.518831,0.086009,0.733117,0.050372,0.643956,0.076068,0.889875,0.062715,0.754933,0.048957,0.766915,0.045497,0.533831,0.090994
3838,knn,"{'classifier__n_neighbors': 9, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.510137,0.082297,0.726259,0.048743,0.631855,0.074259,0.892191,0.060114,0.748815,0.047629,0.762023,0.043714,0.524045,0.087428
4094,knn,"{'classifier__n_neighbors': 9, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.510017,0.082326,0.726201,0.048772,0.631809,0.074305,0.892111,0.060103,0.748753,0.047655,0.76196,0.043732,0.523919,0.087463
1500,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.516589,0.086645,0.734832,0.050128,0.652161,0.075354,0.880172,0.063999,0.755601,0.048576,0.766167,0.045639,0.532333,0.091279
1244,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.516631,0.086588,0.734846,0.050124,0.652161,0.075394,0.880211,0.063942,0.755616,0.048562,0.766186,0.045613,0.532372,0.091226
