dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
3677,knn,"{'classifier__n_neighbors': 21, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.594814,0.07557,0.78535,0.04093,0.710704,0.063864,0.886874,0.050001,0.792699,0.040925,0.798789,0.038927,0.597578,0.077854
3677,knn,"{'classifier__n_neighbors': 21, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.594958,0.075525,0.785422,0.040912,0.710794,0.063908,0.886924,0.050039,0.792767,0.040906,0.798859,0.038905,0.597718,0.07781
3678,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.589263,0.07472,0.7832,0.039997,0.711619,0.062741,0.880551,0.05253,0.79032,0.039971,0.796085,0.038311,0.59217,0.076621
3678,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.589247,0.074698,0.78319,0.039985,0.711601,0.062732,0.880551,0.05253,0.79031,0.039959,0.796076,0.038299,0.592152,0.076598
1885,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.591874,0.074214,0.783418,0.040458,0.707025,0.064196,0.887309,0.049688,0.790791,0.040553,0.797167,0.038344,0.594334,0.076689
1885,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.592333,0.074177,0.783678,0.04041,0.707386,0.064055,0.88743,0.049707,0.791053,0.040501,0.797408,0.038314,0.594817,0.076627
1629,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.592307,0.07438,0.783656,0.040547,0.707384,0.064395,0.887384,0.049897,0.791015,0.040647,0.797384,0.038431,0.594767,0.076862
1629,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.592773,0.074369,0.783926,0.040509,0.707781,0.064255,0.887481,0.049927,0.791286,0.040604,0.797631,0.038412,0.595262,0.076825
4958,knn,"{'classifier__n_neighbors': 19, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.592411,0.073552,0.783718,0.039643,0.707326,0.062209,0.887609,0.049826,0.791164,0.039596,0.797467,0.037788,0.594935,0.075576
4958,knn,"{'classifier__n_neighbors': 19, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.592386,0.073549,0.783707,0.039645,0.707326,0.062219,0.887585,0.049786,0.791154,0.039593,0.797455,0.037785,0.594911,0.07557
2911,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.594762,0.075038,0.78589,0.040275,0.713392,0.061776,0.884499,0.050042,0.793212,0.040228,0.798946,0.038533,0.597891,0.077067
8151,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.57945,0.077722,0.781082,0.040919,0.722287,0.062534,0.861039,0.055607,0.787333,0.04077,0.791663,0.039615,0.583326,0.07923
8151,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.57939,0.077729,0.78104,0.04092,0.722198,0.062539,0.861063,0.05563,0.787294,0.040772,0.791631,0.039618,0.583261,0.079235
2655,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.595206,0.075058,0.786139,0.040254,0.713771,0.061743,0.884574,0.050178,0.793455,0.040194,0.799173,0.038528,0.598345,0.077055
606,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.590969,0.073005,0.782787,0.039418,0.705536,0.061986,0.887857,0.049374,0.790279,0.039397,0.796696,0.03754,0.593392,0.075079
606,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.591024,0.073032,0.782808,0.039432,0.705518,0.061965,0.88793,0.049342,0.790304,0.039413,0.796724,0.037554,0.593448,0.075108
7895,knn,"{'classifier__n_neighbors': 21, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.582145,0.077044,0.781403,0.040895,0.717401,0.062174,0.868418,0.053362,0.788091,0.04087,0.792909,0.039432,0.585819,0.078863
8028,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.587028,0.076027,0.781558,0.041158,0.707669,0.064505,0.882037,0.050747,0.788791,0.041168,0.794853,0.039141,0.589706,0.078282
8028,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.587055,0.076101,0.781569,0.0412,0.70767,0.064549,0.882062,0.050763,0.788802,0.04121,0.794866,0.03918,0.589732,0.07836
3038,knn,"{'classifier__n_neighbors': 19, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.587394,0.075403,0.780572,0.040826,0.701806,0.064061,0.887668,0.050594,0.788024,0.041,0.794737,0.038881,0.589474,0.077761
3038,knn,"{'classifier__n_neighbors': 19, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.587296,0.075343,0.78051,0.040798,0.701679,0.064015,0.887693,0.050513,0.787966,0.040971,0.794686,0.03885,0.589372,0.077701
3932,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.586239,0.075458,0.780603,0.041035,0.704461,0.064964,0.884145,0.050293,0.787915,0.04109,0.794303,0.038908,0.588606,0.077815
3932,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.586222,0.075481,0.780593,0.041046,0.704444,0.064963,0.884145,0.050293,0.787906,0.041099,0.794295,0.038919,0.58859,0.077838
7966,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.589737,0.075352,0.783624,0.040477,0.712695,0.063229,0.880084,0.051545,0.790735,0.040408,0.796389,0.03867,0.592779,0.07734
7966,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.589728,0.075346,0.783613,0.040465,0.712659,0.063192,0.880108,0.051573,0.790727,0.040398,0.796384,0.038665,0.592767,0.07733
1887,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.597525,0.073997,0.787672,0.039558,0.716946,0.061182,0.883846,0.05136,0.794858,0.039539,0.800396,0.037968,0.600792,0.075936
1887,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.597508,0.073987,0.787662,0.039553,0.716928,0.061181,0.883846,0.05136,0.794848,0.039533,0.800387,0.037963,0.600774,0.075926
1629,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.590693,0.074453,0.783075,0.040372,0.707798,0.063839,0.885452,0.050537,0.790391,0.040432,0.796625,0.03838,0.59325,0.07676
1629,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.591305,0.074469,0.783449,0.040377,0.708429,0.063819,0.885476,0.050504,0.790758,0.040426,0.796952,0.038385,0.593905,0.07677
4638,knn,"{'classifier__n_neighbors': 19, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.590936,0.074499,0.783013,0.040134,0.706642,0.062174,0.886873,0.049657,0.790481,0.040131,0.796758,0.038308,0.593515,0.076615
4638,knn,"{'classifier__n_neighbors': 19, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.590926,0.074474,0.783002,0.040124,0.706606,0.062167,0.886898,0.049623,0.790473,0.040121,0.796752,0.038296,0.593504,0.076591
2719,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.585358,0.076036,0.781278,0.040669,0.709763,0.06296,0.878526,0.052128,0.788411,0.040636,0.794144,0.038984,0.588288,0.077969
2719,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.585342,0.076048,0.781268,0.040678,0.709745,0.062976,0.878526,0.052128,0.788401,0.040644,0.794135,0.038991,0.58827,0.077982
2975,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.585177,0.076128,0.781154,0.040719,0.709514,0.063043,0.878575,0.05214,0.788293,0.04069,0.794044,0.039028,0.588089,0.078056
2975,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.58516,0.07614,0.781143,0.040728,0.709496,0.063059,0.878575,0.05214,0.788282,0.040698,0.794035,0.039035,0.588071,0.078069
8093,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.592695,0.074977,0.785457,0.040053,0.715662,0.061363,0.880374,0.051353,0.792592,0.040061,0.798018,0.038458,0.596036,0.076917
7837,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.593188,0.074781,0.785758,0.039937,0.716167,0.061182,0.880399,0.051273,0.792889,0.03995,0.798283,0.038355,0.596567,0.076709
4958,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.592462,0.073025,0.784094,0.039261,0.709056,0.061438,0.886142,0.049607,0.791505,0.039199,0.797599,0.037485,0.595198,0.074971
4958,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.592516,0.073055,0.784115,0.039276,0.709038,0.061419,0.886215,0.049565,0.791531,0.039216,0.797627,0.037501,0.595254,0.075002
6942,knn,"{'classifier__n_neighbors': 19, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.589448,0.074752,0.782928,0.039952,0.709404,0.061411,0.882929,0.051016,0.790259,0.03994,0.796166,0.03833,0.592333,0.076659
6942,knn,"{'classifier__n_neighbors': 19, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.589469,0.074799,0.782939,0.039977,0.709404,0.061404,0.882954,0.050984,0.790273,0.039964,0.796179,0.038354,0.592358,0.076708
6686,knn,"{'classifier__n_neighbors': 19, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.590206,0.074745,0.783374,0.039996,0.710122,0.061608,0.883002,0.05091,0.790688,0.039971,0.796562,0.03834,0.593124,0.07668
6686,knn,"{'classifier__n_neighbors': 19, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.590244,0.074805,0.783395,0.04003,0.710141,0.061621,0.883026,0.050879,0.790711,0.040004,0.796583,0.038371,0.593167,0.076742
7069,knn,"{'classifier__n_neighbors': 11, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.580113,0.076835,0.778642,0.041242,0.707338,0.064134,0.875612,0.052663,0.785697,0.0413,0.791475,0.039468,0.582949,0.078936
5661,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.586009,0.074154,0.781486,0.039997,0.709365,0.062754,0.87956,0.050725,0.788659,0.04001,0.794463,0.038145,0.588925,0.076291
5661,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.586094,0.07418,0.781538,0.040017,0.709455,0.062789,0.87956,0.050725,0.788708,0.040032,0.794507,0.038162,0.589015,0.076324
