dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
4944,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 125}",0.553738,0.099978,0.789701,0.046535,0.820264,0.057877,0.735938,0.093839,0.774586,0.054064,0.778101,0.051579,0.556203,0.103158
6675,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 150}",0.566777,0.095487,0.795325,0.044809,0.822388,0.057171,0.747715,0.09035,0.78194,0.051286,0.785052,0.049318,0.570104,0.098635
7769,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 175}",0.57459,0.094843,0.798719,0.044685,0.823519,0.056994,0.755145,0.087769,0.786496,0.050723,0.789332,0.048724,0.578664,0.097448
5234,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.568081,0.094138,0.795402,0.044459,0.819442,0.057261,0.753083,0.087268,0.783466,0.050187,0.786262,0.04836,0.572525,0.096721
5648,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 75}",0.561367,0.095932,0.793417,0.045046,0.82424,0.057363,0.739225,0.090008,0.778345,0.051695,0.781733,0.049451,0.563465,0.098901
4947,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 175}",0.561606,0.098128,0.793327,0.045647,0.822621,0.056805,0.741795,0.091873,0.778904,0.052968,0.782208,0.050568,0.564416,0.101136
6487,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 100}",0.563924,0.0986,0.794179,0.046239,0.822059,0.057147,0.745149,0.090145,0.780517,0.052859,0.783604,0.050693,0.567208,0.101387
808,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 125}",0.557824,0.098959,0.791626,0.046282,0.821593,0.057319,0.738882,0.089794,0.776998,0.05285,0.780237,0.050663,0.560474,0.101327
849,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 125}",0.55226,0.099517,0.789156,0.046562,0.820678,0.058144,0.733711,0.092299,0.77367,0.053608,0.777195,0.051228,0.554389,0.102457
4645,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 125}",0.542935,0.100262,0.784584,0.047103,0.815919,0.058887,0.729497,0.090362,0.769275,0.053423,0.772708,0.051203,0.545416,0.102406
3155,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 175}",0.576708,0.095405,0.800991,0.044549,0.832381,0.056037,0.745797,0.088678,0.785788,0.051191,0.789089,0.048982,0.578178,0.097965
7697,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 125}",0.56954,0.093998,0.797077,0.044152,0.826181,0.056749,0.745894,0.088833,0.782819,0.050833,0.786037,0.04849,0.572075,0.09698
3931,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 125}",0.577852,0.096844,0.800714,0.045192,0.827325,0.056193,0.753912,0.09025,0.787606,0.052349,0.790619,0.049921,0.581237,0.099842
6001,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 175}",0.562942,0.095623,0.795345,0.044325,0.832465,0.056058,0.730026,0.090996,0.777279,0.051913,0.781245,0.049237,0.562491,0.098475
4567,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 50}",0.564014,0.094357,0.79335,0.044952,0.817312,0.058566,0.751226,0.085939,0.781499,0.050032,0.784269,0.048296,0.568538,0.096592
5147,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 125}",0.570863,0.097113,0.798239,0.045255,0.829798,0.056102,0.742734,0.090361,0.782884,0.052542,0.786266,0.050024,0.572532,0.100048
4702,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 100}",0.538557,0.100985,0.782303,0.047508,0.813019,0.059534,0.72828,0.091041,0.767222,0.053698,0.77065,0.051597,0.541299,0.103193
23,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 75}",0.562962,0.096147,0.793336,0.045503,0.81951,0.057843,0.747312,0.087466,0.780504,0.051067,0.783411,0.049311,0.566822,0.098622
6675,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 175}",0.565395,0.096543,0.794853,0.045147,0.822802,0.056935,0.745683,0.09113,0.781057,0.051972,0.784243,0.049875,0.568485,0.099751
