dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
8089,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150}",0.699235,0.069445,0.852979,0.033694,0.896076,0.039837,0.794385,0.06101,0.842819,0.036836,0.84523,0.035543,0.690461,0.071087
3838,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 150}",0.698901,0.069787,0.852826,0.033889,0.895266,0.040129,0.795105,0.060603,0.842834,0.036923,0.845186,0.035663,0.690372,0.071325
6111,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 150}",0.701254,0.069078,0.85395,0.033491,0.899608,0.039927,0.79185,0.061039,0.843116,0.036729,0.845729,0.035349,0.691458,0.070698
7933,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 150}",0.704135,0.068234,0.855381,0.033057,0.901044,0.038352,0.793268,0.061449,0.844557,0.036579,0.847156,0.035128,0.694312,0.070256
8125,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 100}",0.70166,0.06855,0.854125,0.033244,0.898918,0.039966,0.793201,0.061234,0.843495,0.036498,0.846059,0.035128,0.692118,0.070255
2879,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 150}",0.697963,0.068177,0.85233,0.033055,0.893562,0.039377,0.796257,0.061844,0.842586,0.036436,0.844909,0.035081,0.689819,0.070163
5053,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 150}",0.699568,0.069573,0.853161,0.033728,0.895738,0.039283,0.795257,0.06139,0.843127,0.037012,0.845498,0.035685,0.690995,0.071369
3801,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 125}",0.69963,0.069667,0.853127,0.033841,0.896016,0.040674,0.794802,0.061522,0.842977,0.036989,0.845409,0.035654,0.690818,0.071308
7900,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 125}",0.69904,0.069593,0.85287,0.033707,0.900343,0.039911,0.788296,0.062045,0.841535,0.037132,0.844319,0.035675,0.688638,0.071351
3998,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 175}",0.699748,0.069564,0.853213,0.033724,0.900399,0.039768,0.789026,0.06234,0.841944,0.037267,0.844712,0.035736,0.689425,0.071472
