dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
7986,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.699185,0.069221,0.850109,0.034618,0.842924,0.046803,0.859861,0.052274,0.850608,0.034988,0.851393,0.034804,0.702785,0.069608
7730,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.699268,0.069411,0.85014,0.034723,0.842888,0.046973,0.859982,0.052304,0.850648,0.035081,0.851435,0.034894,0.702871,0.069788
7386,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150}",0.694142,0.070364,0.850395,0.034202,0.888552,0.041913,0.798477,0.060906,0.841404,0.036918,0.843514,0.035833,0.687029,0.071667
3035,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 175}",0.697124,0.069473,0.851944,0.033666,0.892694,0.039627,0.79652,0.061325,0.842355,0.036808,0.844607,0.03559,0.689214,0.07118
3292,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 175}",0.693712,0.069676,0.850305,0.033766,0.895715,0.040061,0.788538,0.061874,0.8395,0.037125,0.842127,0.035702,0.684253,0.071403
4030,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.697095,0.069254,0.851899,0.033587,0.89545,0.040703,0.792662,0.061248,0.841573,0.036676,0.844056,0.035392,0.688113,0.070784
5502,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.698774,0.070168,0.849924,0.035066,0.843287,0.047435,0.858948,0.05337,0.850308,0.035469,0.851117,0.035297,0.702234,0.070594
5246,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.698486,0.06987,0.849778,0.034924,0.843143,0.047396,0.858799,0.053289,0.850159,0.035325,0.850971,0.03515,0.701942,0.070301
2066,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 125}",0.683565,0.071532,0.845244,0.03472,0.882865,0.041891,0.794052,0.062924,0.836321,0.037785,0.838459,0.036581,0.676918,0.073161
1651,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.699516,0.069562,0.850173,0.034687,0.842217,0.046676,0.860974,0.053395,0.850781,0.035141,0.851595,0.035003,0.703191,0.070005
5683,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.6987,0.069543,0.84987,0.034671,0.842756,0.046404,0.859526,0.053305,0.850346,0.035152,0.851141,0.035008,0.702282,0.070016
5204,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 175}",0.690896,0.070985,0.848853,0.034449,0.889184,0.041674,0.793999,0.062169,0.839306,0.037469,0.841592,0.036249,0.683184,0.072498
2939,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 75}",0.687972,0.069891,0.847477,0.033864,0.889882,0.040871,0.789803,0.061858,0.837416,0.037004,0.839842,0.035717,0.679685,0.071434
1852,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 125}",0.698674,0.069211,0.852711,0.03363,0.89633,0.0403,0.793385,0.060318,0.842415,0.036657,0.844857,0.035377,0.689715,0.070755
2971,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 175}",0.697968,0.070449,0.852309,0.034197,0.892098,0.040518,0.798193,0.062079,0.842929,0.037356,0.845145,0.036099,0.69029,0.072198
5683,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.700995,0.069214,0.851013,0.034531,0.843749,0.046276,0.860875,0.052579,0.851534,0.034959,0.852312,0.034808,0.704624,0.069616
1587,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.701913,0.069106,0.851418,0.034476,0.843729,0.046337,0.861854,0.052698,0.852002,0.034899,0.852791,0.034759,0.705583,0.069519
5939,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.701137,0.069649,0.851085,0.034742,0.843893,0.046461,0.86085,0.052875,0.851589,0.035183,0.852371,0.035029,0.704743,0.070059
5149,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 175}",0.693084,0.069669,0.84999,0.033777,0.894777,0.040084,0.789067,0.062534,0.839318,0.037242,0.841922,0.035792,0.683844,0.071584
6079,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.701593,0.068752,0.854103,0.033354,0.899545,0.039773,0.792317,0.061463,0.84332,0.036694,0.845931,0.035287,0.691862,0.070574
3005,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 150}",0.698324,0.069253,0.852508,0.033573,0.893937,0.039935,0.796151,0.06161,0.842722,0.036798,0.845044,0.035498,0.690088,0.070995
6078,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 100}",0.695993,0.071642,0.851457,0.034651,0.896725,0.039653,0.789884,0.062464,0.840721,0.038057,0.843304,0.036673,0.686608,0.073346
1241,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 150}",0.690682,0.070416,0.848832,0.034129,0.89312,0.040502,0.788577,0.062314,0.838293,0.037394,0.840848,0.036068,0.681697,0.072136
1650,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.70023,0.069452,0.850535,0.034635,0.842541,0.046512,0.861383,0.053245,0.851154,0.035101,0.851962,0.034955,0.703924,0.069909
1980,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 150}",0.697549,0.070956,0.852175,0.034414,0.897825,0.04057,0.790078,0.061691,0.841332,0.03764,0.843952,0.036267,0.687903,0.072535
7836,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 150}",0.70145,0.069282,0.854055,0.033562,0.901627,0.039393,0.789349,0.061687,0.842718,0.037039,0.845488,0.035542,0.690975,0.071083
5276,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 75}",0.694896,0.071305,0.850863,0.034612,0.89581,0.041447,0.789716,0.061365,0.840187,0.037631,0.842763,0.036312,0.685526,0.072625
1842,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.701385,0.070344,0.850974,0.035178,0.841537,0.047061,0.863792,0.052437,0.851863,0.035515,0.852665,0.035362,0.705329,0.070724
1788,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 175}",0.70057,0.069002,0.853669,0.033432,0.899194,0.038963,0.791754,0.060911,0.842899,0.036748,0.845474,0.035382,0.690947,0.070764
5745,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 5, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.695981,0.069902,0.848002,0.03503,0.8358,0.046854,0.864576,0.051322,0.849366,0.035261,0.850188,0.035127,0.700376,0.070254
4027,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 175}",0.691644,0.070377,0.849305,0.034116,0.894494,0.0406,0.787844,0.061684,0.838563,0.037342,0.841169,0.035973,0.682337,0.071946
3551,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 75}",0.693602,0.069452,0.850262,0.033616,0.897924,0.040098,0.785413,0.061249,0.83888,0.03689,0.841669,0.03548,0.683338,0.07096
7986,svm_poly,"{'classifier__C': 0.5, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.698074,0.069077,0.849434,0.034569,0.840994,0.046695,0.860895,0.051927,0.850154,0.03491,0.850944,0.034733,0.701888,0.069467
7986,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.698072,0.069116,0.849434,0.03459,0.840994,0.046716,0.860895,0.051893,0.850156,0.034927,0.850944,0.034749,0.701888,0.069498
7730,svm_poly,"{'classifier__C': 0.5, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.698687,0.068851,0.849735,0.034459,0.841335,0.046735,0.861141,0.051999,0.850441,0.034804,0.851238,0.034625,0.702476,0.06925
7730,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.698629,0.068859,0.849704,0.034461,0.841281,0.046729,0.861141,0.051999,0.850414,0.034808,0.851211,0.034629,0.702422,0.069258
6065,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 150}",0.686866,0.070462,0.846902,0.034122,0.890261,0.041095,0.787932,0.063972,0.836528,0.037588,0.839097,0.036171,0.678193,0.072343
5681,svm_poly,"{'classifier__C': 3000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.69897,0.069147,0.849498,0.034687,0.837587,0.04716,0.865679,0.051084,0.8508,0.034855,0.851633,0.034715,0.703266,0.06943
1584,svm_poly,"{'classifier__C': 3000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.69868,0.069618,0.849363,0.034913,0.837425,0.047072,0.865581,0.051224,0.850678,0.035108,0.851503,0.034971,0.703006,0.069941
5937,svm_poly,"{'classifier__C': 3000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.699146,0.069332,0.849591,0.034779,0.837712,0.047205,0.865729,0.051096,0.85089,0.034943,0.85172,0.034804,0.703441,0.069609
1840,svm_poly,"{'classifier__C': 3000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.698864,0.069413,0.849466,0.034811,0.837621,0.047004,0.865555,0.051172,0.850764,0.035009,0.851588,0.034871,0.703176,0.069741
