dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
479,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 4, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.664858,0.082562,0.833563,0.042006,0.813712,0.057889,0.868431,0.066739,0.839334,0.042103,0.841071,0.04186,0.682142,0.08372
479,svm_poly,"{'classifier__C': 10000, 'classifier__degree': 4, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.66332,0.081761,0.832395,0.041712,0.811091,0.058086,0.86982,0.066906,0.838618,0.041772,0.840456,0.041514,0.680911,0.083029
479,svm_poly,"{'classifier__C': 12000, 'classifier__degree': 4, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.666581,0.082586,0.834815,0.041805,0.816373,0.057115,0.8672,0.067059,0.840128,0.042133,0.841786,0.041899,0.683573,0.083798
223,svm_poly,"{'classifier__C': 1, 'classifier__degree': 4, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.66321,0.081754,0.832337,0.041715,0.811024,0.058089,0.86978,0.066936,0.838563,0.041786,0.840402,0.041521,0.680804,0.083043
223,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 4, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.663861,0.081908,0.832726,0.041767,0.811657,0.058102,0.86974,0.066894,0.838875,0.041828,0.840699,0.04157,0.681397,0.08314
223,svm_poly,"{'classifier__C': 10000, 'classifier__degree': 4, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.663284,0.081759,0.832366,0.041712,0.811024,0.058089,0.86986,0.066996,0.838599,0.041792,0.840442,0.04153,0.680884,0.083059
223,svm_poly,"{'classifier__C': 12000, 'classifier__degree': 4, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.666652,0.082562,0.834858,0.041789,0.81644,0.05709,0.8672,0.067059,0.840163,0.042125,0.84182,0.041891,0.68364,0.083781
219,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.65774,0.086249,0.832887,0.042417,0.824688,0.055449,0.847257,0.072502,0.834544,0.044167,0.835973,0.043912,0.671945,0.087825
3227,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 4, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.654066,0.086939,0.831877,0.042712,0.827522,0.056101,0.839505,0.073211,0.83209,0.044605,0.833513,0.044212,0.667026,0.088424
3483,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 4, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.654262,0.086853,0.831978,0.042679,0.827635,0.056078,0.839585,0.073102,0.83219,0.044555,0.83361,0.044163,0.667219,0.088327
