dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
7729,svm_poly,"{'classifier__C': 12000, 'classifier__degree': 2, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.695848,0.070094,0.84797,0.035193,0.836578,0.047881,0.863448,0.052232,0.849152,0.035449,0.850013,0.035254,0.700025,0.070508
1342,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 3, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.692319,0.071863,0.846702,0.035829,0.839909,0.047444,0.855927,0.054826,0.847095,0.036403,0.847918,0.036215,0.695837,0.07243
1086,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 3, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.694163,0.071739,0.847637,0.035756,0.840865,0.047173,0.856838,0.054514,0.848045,0.036316,0.848851,0.036142,0.697702,0.072284
3767,svm_poly,"{'classifier__C': 10, 'classifier__degree': 3, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.69316,0.070247,0.846794,0.035267,0.837208,0.048569,0.859822,0.052366,0.847662,0.035445,0.848515,0.035271,0.69703,0.070541
3767,svm_poly,"{'classifier__C': 10000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.693141,0.070217,0.846784,0.035251,0.83719,0.048558,0.859822,0.052366,0.847653,0.035429,0.848506,0.035255,0.697012,0.070511
2042,svm_poly,"{'classifier__C': 100, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.698472,0.069613,0.849092,0.034937,0.835909,0.047458,0.867003,0.05169,0.85058,0.035157,0.851456,0.034995,0.702912,0.06999
1786,svm_poly,"{'classifier__C': 5, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.697985,0.069665,0.848822,0.034979,0.835459,0.047623,0.86698,0.051702,0.850335,0.035186,0.851219,0.03502,0.702439,0.070039
1786,svm_poly,"{'classifier__C': 500, 'classifier__degree': 2, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.698032,0.069706,0.848843,0.034998,0.835477,0.047661,0.867004,0.051748,0.850355,0.035204,0.851241,0.035038,0.702481,0.070077
1654,svm_poly,"{'classifier__C': 0.1, 'classifier__degree': 6, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.694032,0.069282,0.846857,0.034733,0.83361,0.047162,0.864867,0.052402,0.848342,0.035038,0.849239,0.034894,0.698477,0.069788
5566,svm_poly,"{'classifier__C': 10, 'classifier__degree': 3, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.698451,0.069264,0.849815,0.034569,0.843403,0.046487,0.858525,0.053238,0.850169,0.035091,0.850964,0.034892,0.701928,0.069784
5566,svm_poly,"{'classifier__C': 10000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.698451,0.069251,0.849815,0.034562,0.843421,0.046502,0.8585,0.053271,0.850165,0.035087,0.85096,0.034887,0.701921,0.069775
6002,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.699481,0.070248,0.850235,0.03499,0.842725,0.046256,0.86043,0.053578,0.850788,0.035539,0.851578,0.035375,0.703155,0.070751
3454,svm_poly,"{'classifier__C': 0.5, 'classifier__degree': 4, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.699629,0.070819,0.850138,0.035416,0.84128,0.047463,0.862183,0.05308,0.850917,0.035777,0.851732,0.035619,0.703463,0.071237
3454,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 4, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.699631,0.070767,0.850138,0.035389,0.841281,0.047447,0.862183,0.05308,0.850916,0.03575,0.851732,0.035592,0.703463,0.071184
8063,svm_poly,"{'classifier__C': 10, 'classifier__degree': 5, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.693315,0.070763,0.846569,0.035511,0.833936,0.048044,0.863747,0.052108,0.84797,0.035682,0.848841,0.035554,0.697683,0.071108
3198,svm_poly,"{'classifier__C': 0.5, 'classifier__degree': 4, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.699586,0.070633,0.850118,0.035302,0.84128,0.047333,0.862133,0.053134,0.85089,0.035669,0.851706,0.035522,0.703413,0.071044
3198,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 4, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.699586,0.070633,0.850118,0.035302,0.84128,0.047333,0.862133,0.053134,0.85089,0.035669,0.851706,0.035522,0.703413,0.071044
7807,svm_poly,"{'classifier__C': 10, 'classifier__degree': 5, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.693469,0.070708,0.846652,0.035485,0.834026,0.047951,0.863821,0.052041,0.848056,0.035663,0.848923,0.035531,0.697847,0.071063
2303,svm_poly,"{'classifier__C': 10, 'classifier__degree': 3, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.693971,0.069703,0.847006,0.035004,0.835451,0.047765,0.862717,0.052344,0.848214,0.035258,0.849084,0.035087,0.698168,0.070173
2303,svm_poly,"{'classifier__C': 10000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.693971,0.069703,0.847006,0.035004,0.835451,0.047765,0.862717,0.052344,0.848214,0.035258,0.849084,0.035087,0.698168,0.070173
1584,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 5, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.695899,0.070424,0.848222,0.035172,0.838631,0.046843,0.861242,0.053101,0.849119,0.035597,0.849936,0.035447,0.699873,0.070894
1840,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 5, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.695894,0.070582,0.848212,0.035267,0.838612,0.047061,0.861242,0.053147,0.849105,0.03568,0.849927,0.035523,0.699854,0.071046
5680,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 5, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.695165,0.070185,0.847848,0.035067,0.838254,0.04696,0.860874,0.052977,0.848741,0.035474,0.849564,0.035318,0.699127,0.070635
7672,svm_poly,"{'classifier__C': 3000, 'classifier__degree': 5, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.69579,0.070261,0.848642,0.035077,0.844017,0.047373,0.854914,0.053693,0.848665,0.035548,0.849465,0.03534,0.698931,0.07068
3836,svm_poly,"{'classifier__C': 10, 'classifier__degree': 4, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.694467,0.070752,0.847348,0.035489,0.836725,0.048352,0.86179,0.052389,0.848404,0.035674,0.849257,0.035517,0.698515,0.071034
