dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
6329,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.650843,0.087658,0.831234,0.042666,0.831201,0.0553,0.831212,0.07586,0.829731,0.045381,0.831206,0.044806,0.662413,0.089612
4508,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.661847,0.083841,0.833351,0.042222,0.818997,0.058159,0.858543,0.069731,0.837138,0.042909,0.83877,0.04254,0.67754,0.085079
4252,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.661932,0.083841,0.833394,0.042229,0.819041,0.05817,0.858583,0.069709,0.837181,0.042912,0.838812,0.04254,0.677624,0.085081
3576,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.651534,0.082597,0.830017,0.04088,0.823299,0.056097,0.841785,0.072062,0.831029,0.042408,0.832542,0.042055,0.665084,0.084109
3320,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.651176,0.082788,0.829815,0.040978,0.822984,0.056161,0.841783,0.072048,0.830871,0.042487,0.832383,0.042138,0.664767,0.084275
3320,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.650477,0.08261,0.829354,0.040947,0.821944,0.056053,0.842338,0.071645,0.830637,0.04239,0.832141,0.042057,0.664283,0.084114
6384,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.650178,0.084957,0.827435,0.042814,0.812578,0.05834,0.853474,0.070764,0.831355,0.043703,0.833026,0.043315,0.666052,0.08663
6384,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.650178,0.084957,0.827435,0.042814,0.812578,0.05834,0.853474,0.070764,0.831355,0.043703,0.833026,0.043315,0.666052,0.08663
6640,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.650096,0.084891,0.827377,0.042793,0.812466,0.058362,0.853514,0.070722,0.831316,0.043666,0.83299,0.04328,0.66598,0.086559
6640,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.650175,0.084938,0.827435,0.042781,0.812577,0.058265,0.853474,0.070891,0.831352,0.04371,0.833025,0.04332,0.666051,0.08664
4574,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.659774,0.08471,0.832823,0.042381,0.820543,0.05781,0.854363,0.070758,0.835873,0.043353,0.837453,0.042987,0.674906,0.085973
4318,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.659833,0.08467,0.832852,0.042356,0.820588,0.057826,0.854363,0.070849,0.835891,0.043337,0.837476,0.042972,0.674951,0.085944
4509,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.663947,0.084723,0.834531,0.042476,0.820654,0.057847,0.858894,0.070216,0.838172,0.043347,0.839774,0.042981,0.679547,0.085962
