dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
1904,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.698457,0.069808,0.849748,0.034771,0.842758,0.046566,0.85923,0.053801,0.850186,0.035288,0.850994,0.035137,0.701989,0.070274
1840,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.697015,0.071015,0.849011,0.035427,0.841859,0.047242,0.858717,0.053887,0.84948,0.035889,0.850288,0.035726,0.700576,0.071452
3898,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.7039,0.069428,0.852345,0.034595,0.844242,0.046382,0.863359,0.053538,0.852987,0.035108,0.8538,0.03496,0.707601,0.06992
633,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.698248,0.07061,0.8488,0.035556,0.834272,0.048583,0.868552,0.051537,0.850499,0.035633,0.851412,0.035478,0.702824,0.070956
889,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.698286,0.070331,0.848832,0.035392,0.834381,0.048338,0.868479,0.051506,0.850521,0.035483,0.85143,0.035337,0.70286,0.070674
1585,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.697411,0.070184,0.849198,0.03498,0.841908,0.046819,0.859091,0.053582,0.849694,0.035442,0.850499,0.035298,0.700999,0.070595
1649,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.699185,0.069155,0.85007,0.034462,0.84272,0.046452,0.860043,0.053524,0.850568,0.034953,0.851382,0.03481,0.702763,0.06962
1841,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.697877,0.069973,0.849458,0.034853,0.842343,0.046538,0.859112,0.053426,0.849933,0.035317,0.850728,0.035185,0.701455,0.07037
1841,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.697777,0.070069,0.849415,0.034912,0.842502,0.046778,0.858791,0.053746,0.849839,0.035392,0.850647,0.035248,0.701293,0.070496
6769,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.69479,0.071128,0.848115,0.035429,0.843232,0.047248,0.854745,0.05485,0.848172,0.036036,0.848988,0.035827,0.697977,0.071655
7025,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.69481,0.070927,0.848136,0.035316,0.843304,0.047045,0.854696,0.054788,0.848189,0.035936,0.849,0.035732,0.698001,0.071464
2929,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.699359,0.069005,0.850221,0.034431,0.843482,0.046541,0.859378,0.0532,0.850626,0.034922,0.85143,0.034734,0.70286,0.069468
3518,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.697738,0.069294,0.849489,0.034631,0.843867,0.047495,0.857135,0.053233,0.849684,0.035011,0.850501,0.034828,0.701002,0.069656
